campaign_id,campaign_name,channel,start_date,spend_usd,impressions,clicks,conversions,revenue_generated_usd,target_audience,region,ab_test_variant
CMP200,New Year Push,Influencer,2024-06-03,1950,57499,3583,392,5840,55+,India,Control
CMP201,B2B Enterprise Drive,Meta Ads,2024-04-18,1390,2250560,40672,2078,1880,35-44,India,Variant A
CMP202,Back-to-School,Email,2024-03-11,6210,4022380,104339,5336,35270,45-54,India,Variant B
CMP203,Summer Blitz,Email,2024-05-10,640,4148904,70213,3005,660,25-34,Japan,Control
CMP204,New Year Push,Google Ads,2024-05-28,5240,4570907,184385,9532,24620,25-34,ANZ,Variant B
CMP205,Back-to-School,Affiliate,2024-06-16,5910,3490627,65721,2717,6920,35-44,India,Control
CMP206,Summer Blitz,Meta Ads,2024-03-02,1240,730311,29658,3279,4010,25-34,Middle East,Variant A
CMP207,Summer Blitz,Google Ads,2024-01-04,1310,4065011,248969,27362,2240,45-54,SEA,Variant B
CMP208,Back-to-School,Meta Ads,2024-09-11,2390,4992208,288735,8725,3670,45-54,Middle East,Variant A
CMP209,B2B Enterprise Drive,LinkedIn,2024-08-08,3950,2467448,73115,2506,5750,25-34,India,Variant A
CMP210,Back-to-School,Email,2024-03-30,2560,1206507,68968,7324,8080,45-54,SEA,Variant A
CMP211,Retargeting Wave,YouTube,2024-03-07,4600,1495194,112049,6711,16010,25-34,Middle East,Variant B
CMP212,Brand Awareness Q1,Google Ads,2024-07-13,17380,1584872,54403,2008,25960,25-34,India,Control
CMP213,Brand Awareness Q1,Meta Ads,2024-09-29,1790,4025011,132979,9450,10550,35-44,Middle East,Variant A
CMP214,New Year Push,Organic SEO,2024-04-27,540,1856246,92813,5723,1160,25-34,ANZ,Variant A
CMP215,Product Launch X,Google Ads,2024-09-13,6810,1004529,27308,1144,21700,35-44,Japan,Control
CMP216,Back-to-School,Influencer,2024-10-13,16050,4775684,265578,24453,30890,35-44,India,Control
CMP217,B2B Enterprise Drive,Google Ads,2024-06-30,4420,2346059,160138,13312,14890,25-34,India,Control
CMP218,Retargeting Wave,Organic SEO,2024-02-06,1000,3849240,162254,4862,4730,45-54,India,Variant A
CMP219,Brand Awareness Q1,Meta Ads,2024-07-22,2630,1493221,85958,9673,9230,35-44,Japan,Variant B
CMP220,Brand Awareness Q1,LinkedIn,2024-01-22,970,2048303,113951,8642,2220,25-34,India,Variant B
CMP221,B2B Enterprise Drive,Google Ads,2024-08-11,5670,1797470,22839,1028,11860,25-34,SEA,Variant A
CMP222,Retargeting Wave,Google Ads,2024-01-10,770,4228191,96568,3923,3650,45-54,India,Control
CMP223,Diwali Sale,Google Ads,2024-08-23,2210,2892939,209874,7050,3130,45-54,India,Control
CMP224,Retargeting Wave,Google Ads,2024-02-09,1090,256420,19416,1212,2970,25-34,India,Control
CMP225,B2B Enterprise Drive,Meta Ads,2024-06-09,3380,983778,63582,2133,5370,18-24,SEA,Variant A
CMP226,Brand Awareness Q1,Email,2024-10-21,2070,4146340,308849,19019,4430,45-54,ANZ,Control
CMP227,Product Launch X,LinkedIn,2024-08-07,3560,2638719,82936,2892,5670,35-44,India,Variant A
CMP228,Diwali Sale,Organic SEO,2024-10-20,3050,3849579,105246,9017,16500,18-24,Middle East,Variant B
CMP229,B2B Enterprise Drive,LinkedIn,2024-07-26,1110,4844330,178760,17612,5110,35-44,SEA,Variant A
CMP230,B2B Enterprise Drive,LinkedIn,2024-11-23,5580,668621,9276,695,20740,25-34,SEA,Variant B
CMP231,Summer Blitz,Meta Ads,2024-08-01,2840,2761986,184199,16210,5590,35-44,SEA,Variant A
CMP232,Retargeting Wave,Email,2024-05-28,1110,2522293,198989,22652,3830,25-34,India,Control
CMP233,Summer Blitz,Meta Ads,2024-02-28,28030,2446470,165582,13881,98340,25-34,India,Control
CMP234,Diwali Sale,Organic SEO,2024-07-26,4800,2030131,99168,5594,18580,25-34,ANZ,Variant B
CMP235,Diwali Sale,Meta Ads,2024-01-11,2560,1296527,39764,2582,2850,55+,India,Variant A
CMP236,Diwali Sale,Google Ads,2024-06-15,12270,209470,4993,529,71890,35-44,SEA,Variant A
CMP237,New Year Push,LinkedIn,2024-03-28,18800,4608640,163534,5408,60540,35-44,India,Control
CMP238,Retargeting Wave,Google Ads,2024-11-12,2580,3828828,217048,11411,14490,35-44,ANZ,Variant A
CMP239,B2B Enterprise Drive,Influencer,2024-08-23,4220,3283835,135603,10540,3590,25-34,India,Control
CMP240,Back-to-School,Influencer,2024-07-04,1110,629559,47458,4159,2320,55+,SEA,Control
CMP241,Product Launch X,Google Ads,2024-02-15,2570,4125675,287953,27744,3450,18-24,India,Control
CMP242,Product Launch X,Google Ads,2024-08-11,2440,2693828,46247,2396,11720,45-54,Japan,Variant A
CMP243,B2B Enterprise Drive,Email,2024-02-24,3590,1105911,21240,734,8850,25-34,India,Control
CMP244,Summer Blitz,LinkedIn,2024-05-04,4160,2145467,123014,14206,21510,25-34,SEA,Control
CMP245,B2B Enterprise Drive,Meta Ads,2024-08-11,5220,2035245,53229,1471,26770,35-44,SEA,Variant B
CMP246,Summer Blitz,YouTube,2024-10-28,3780,2993506,195691,5788,16150,45-54,ANZ,Variant A
CMP247,Back-to-School,LinkedIn,2024-07-24,890,3459499,177801,12356,3790,45-54,India,Variant A
CMP248,Summer Blitz,Meta Ads,2024-09-25,1170,3653598,95315,9715,5200,35-44,ANZ,Variant A
CMP249,Retargeting Wave,Google Ads,2024-02-10,1730,4248638,184850,18013,7450,25-34,India,Variant B
CMP250,Brand Awareness Q1,Organic SEO,2024-07-21,2250,211823,8139,925,6330,55+,India,Control
CMP251,Summer Blitz,Google Ads,2024-06-07,8530,1758542,125069,4272,37110,25-34,SEA,Control
