transaction_id,transaction_date,expense_category,vendor,department,amount_usd,approved_by,payment_method,budget_code,over_budget,recurring,quarter
TXN10000,2024-05-16,Software Subscriptions,Salesforce,Marketing,2480,MGR10,Direct Debit,BU013,No,Yes,Q4
TXN10001,2024-02-12,Travel,AWS,Marketing,9970,MGR15,Wire Transfer,BU009,No,No,Q4
TXN10002,2024-08-05,Marketing,Unknown,HR,1120,MGR18,Corporate Card,BU011,No,Yes,Q1
TXN10003,2024-02-10,Facilities,OLA Business,Engineering,470,MGR14,Wire Transfer,BU004,No,No,Q1
TXN10004,2024-08-08,Office Supplies,LegalZoom,Marketing,210,MGR18,Corporate Card,BU002,No,No,Q4
TXN10005,2024-11-04,Software Subscriptions,Unknown,Operations,910,MGR13,Corporate Card,BU013,No,Yes,Q3
TXN10006,2024-04-02,Facilities,Salesforce,Engineering,1430,MGR08,Direct Debit,BU013,Yes,No,Q3
TXN10007,2024-10-06,R&D,Unknown,Operations,670,MGR08,Corporate Card,BU003,Yes,Yes,Q1
TXN10008,2024-05-30,Travel,Unknown,Operations,1950,MGR15,Wire Transfer,BU012,Yes,No,Q1
TXN10009,2024-06-13,Training,Salesforce,Marketing,4090,MGR12,Direct Debit,BU004,No,Yes,Q1
TXN10010,2024-02-22,Marketing,Coursera for Teams,Marketing,150,MGR05,Corporate Card,BU010,No,Yes,Q2
TXN10011,2024-02-10,Marketing,Coursera for Teams,HR,950,MGR09,Corporate Card,BU012,Yes,Yes,Q1
TXN10012,2024-06-16,Salaries,WeWork,HR,70,MGR07,Corporate Card,BU008,No,No,Q2
TXN10013,2024-12-04,Salaries,Unknown,Engineering,250,MGR04,Corporate Card,BU003,Yes,Yes,Q3
TXN10014,2024-05-31,Salaries,LegalZoom,HR,1580,MGR02,Corporate Card,BU008,No,Yes,Q1
TXN10015,2024-06-05,Salaries,Salesforce,Sales,630,MGR14,Reimbursement,BU006,No,Yes,Q1
TXN10016,2024-08-16,Salaries,LegalZoom,Engineering,100,MGR20,Reimbursement,BU004,No,Yes,Q2
TXN10017,2024-11-04,Cloud Infrastructure,Swiggy for Teams,Operations,2340,MGR01,Wire Transfer,BU014,No,No,Q1
TXN10018,2024-08-06,Cloud Infrastructure,Zoom,HR,350,MGR08,Corporate Card,BU007,No,No,Q1
TXN10019,2024-03-26,Salaries,WeWork,HR,1850,MGR07,Reimbursement,BU015,No,No,Q2
TXN10020,2024-12-19,Software Subscriptions,Zoom,HR,1230,MGR03,Wire Transfer,BU014,Yes,Yes,Q2
TXN10021,2024-08-15,Cloud Infrastructure,WeWork,Marketing,240,MGR04,Corporate Card,BU011,Yes,Yes,Q3
TXN10022,2024-06-28,Legal & Compliance,OLA Business,Operations,1890,MGR20,Corporate Card,BU013,No,No,Q1
TXN10023,2024-08-16,Cloud Infrastructure,Salesforce,HR,970,MGR02,Corporate Card,BU005,No,No,Q4
TXN10024,2024-01-22,Salaries,Zoom,Finance,820,MGR15,Direct Debit,BU005,No,Yes,Q4
TXN10025,2024-06-29,Office Supplies,LegalZoom,Finance,380,MGR20,Wire Transfer,BU009,No,No,Q3
TXN10026,2024-11-10,Cloud Infrastructure,Salesforce,Operations,180,MGR02,Wire Transfer,BU013,No,No,Q1
