employee_id,hire_date,department,job_level,salary_usd,performance_score,training_hours,satisfaction_score,overtime_hours_monthly,tenure_years,attrition,gender,location
EMP1000,2021-08-02,HR,Junior,68300,3,69,2.9,25,3.7,No,Male,Mumbai
EMP1001,2018-08-17,Finance,Mid,47300,3,40,1.6,4,1.1,Yes,Non-binary,Hyderabad
EMP1002,2018-02-21,Marketing,Mid,139300,3,53,2.4,19,0.6,No,Male,Hyderabad
EMP1003,2022-02-27,Finance,Senior,76500,2,45,1.7,10,0.6,Yes,Female,Bengaluru
EMP1004,2019-07-18,Finance,Senior,75300,4,59,1.7,32,0.3,No,Female,Bengaluru
EMP1005,2019-05-17,Sales,Junior,74400,4,107,4.8,37,0.7,No,Non-binary,Bengaluru
EMP1006,2019-04-03,Marketing,Mid,80000,4,59,2.8,26,3.8,Yes,Female,Delhi
EMP1007,2018-10-13,Marketing,Senior,71400,3,56,4.2,33,7.5,No,Female,Bengaluru
EMP1008,2022-02-17,Marketing,Mid,60700,3,30,3.6,14,5.9,No,Male,Hyderabad
EMP1009,2018-07-29,Finance,Lead,61300,5,83,3.7,31,4.0,No,Male,Delhi
EMP1010,2021-10-17,HR,Senior,74200,3,23,1.5,20,0.4,No,Male,Chennai
EMP1011,2022-02-25,Marketing,Junior,61400,3,88,1.9,4,1.2,Yes,Female,Mumbai
EMP1012,2023-01-02,Operations,Junior,57200,1,35,4.1,5,1.3,No,Female,Bengaluru
EMP1013,2021-01-21,Finance,Senior,77700,3,84,4.9,37,1.0,No,Male,Chennai
EMP1014,2018-06-28,Sales,Junior,68600,3,29,2.1,21,2.5,No,Male,Hyderabad
EMP1015,2021-04-24,HR,Mid,112600,3,23,2.1,17,2.7,No,Female,Mumbai
EMP1016,2020-05-14,Operations,Manager,30000,4,107,2.9,13,1.5,No,Male,Chennai
EMP1017,2018-03-07,Operations,Mid,102300,3,105,4.9,9,1.5,No,Female,Mumbai
EMP1018,2018-03-03,Sales,Mid,106200,4,29,2.1,12,6.2,Yes,Female,Bengaluru
EMP1019,2018-07-11,HR,Senior,30000,4,85,2.6,30,5.5,Yes,Female,Hyderabad
EMP1020,2019-03-24,Finance,Mid,66400,4,91,4.6,29,1.3,No,Female,Mumbai
EMP1021,2019-04-22,Engineering,Mid,65700,4,6,1.0,2,8.6,No,Female,Chennai
EMP1022,2020-10-31,HR,Manager,39800,5,34,1.2,29,10.7,No,Male,Bengaluru
